pkSeqID,flgs,proto,sport,dport,pkts,bytes,state,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPsrcIP,TnBPDstIP,TnPPSrcIP,TnPPDstIP,TnPPerProto,TnPPerDport,avgPD,attack,category,subcategory 
66071,1,5,771.0,1216.0,1,70,6,1597,0.0,0.0,0.0,0.0,0.0,0.0,1,0,70,0,0.0,0.0,0.0,668,1746,8,15,13,2,0.0,0,3,3
1142503,1,5,771.0,1216.0,1,70,6,14069,0.0,0.0,0.0,0.0,0.0,0.0,1,0,70,0,0.0,0.0,0.0,2276,616,16,4,12,4,0.0,0,3,3
66855,1,5,771.0,33538.0,1,70,6,2428,0.0,0.0,0.0,0.0,0.0,0.0,1,0,70,0,0.0,0.0,0.0,1626,3132,13,24,16,7,0.0,0,3,3
799073,1,2,10106.0,7576.0,2,120,5,16,5.3e-05,5.3e-05,0.0,5.3e-05,5.3e-05,5.3e-05,1,1,60,60,18867.92383,0.0,0.0,1895135,2837214,22899,35074,34042,4,37735.84906,0,3,3
1120151,1,2,10899.0,8715.0,2,120,5,3628,5.3e-05,5.3e-05,0.0,5.3e-05,5.3e-05,5.3e-05,1,1,60,60,18867.92383,0.0,0.0,1890795,2819494,22418,35752,31377,2,37735.84906,0,3,3
1122556,1,2,12259.0,9889.0,2,120,5,1872,6.7e-05,6.7e-05,0.0,6.7e-05,6.7e-05,6.7e-05,1,1,60,60,14925.37305,0.0,0.0,1956770,2826997,23439,35578,32126,2,29850.74627,0,3,3
480824,1,2,12906.0,11818.0,2,120,5,3429,5.8e-05,5.8e-05,0.0,5.8e-05,5.8e-05,5.8e-05,1,1,60,60,17241.37891,0.0,0.0,1935532,2828420,23396,35818,31930,2,34482.75862,0,3,3
481099,1,2,13790.0,11890.0,2,120,5,3718,5.2e-05,5.2e-05,0.0,5.2e-05,5.2e-05,5.2e-05,1,1,60,60,19230.76953,0.0,0.0,1907793,2841511,22563,35385,32959,6,38461.53846,0,3,3
31700,1,2,1822.0,920.0,5,300,5,3034,0.004915,0.004915,0.0,0.004915,0.004915,0.004915,2,3,120,180,813.835205,203.458801,406.917603,1920803,2821816,22919,35379,32529,2,1017.293998,0,3,3
31707,1,2,1822.0,935.0,5,300,5,3041,0.005275,0.005275,0.0,0.005275,0.005275,0.005275,2,3,120,180,758.293884,189.573471,379.146942,1916537,2831275,22742,35379,32922,2,947.8672986,0,3,3
24177,1,2,2262.0,1.0,2,120,5,253,5e-05,5e-05,0.0,5e-05,5e-05,5e-05,1,1,60,60,20000.0,0.0,0.0,1916877,2824778,22917,34761,34353,16,40000.0,0,3,3
48736,1,2,2383.0,33844.0,2,134,5,20476,0.0,1.2e-05,1.2e-05,2.4e-05,0.0,2.4e-05,2,0,134,0,0.0,0.0,0.0,1566,1292,12,9,31875,4,0.0,0,3,3
1099256,1,2,2387.0,17.0,2,120,5,279702,6.4e-05,6.4e-05,0.0,6.4e-05,6.4e-05,6.4e-05,1,1,60,60,15625.0,0.0,0.0,1933256,2840847,23219,35750,32377,8,31250.0,0,3,3
782481,1,2,2432.0,1319.0,2,120,5,2667,7.8e-05,7.8e-05,0.0,7.8e-05,7.8e-05,7.8e-05,1,1,60,60,12820.51367,0.0,0.0,1934576,2823628,23036,35807,31487,5,25641.02564,0,3,3
778138,1,2,2579.0,49.0,2,120,5,278869,5e-05,5e-05,0.0,5e-05,5e-05,5e-05,1,1,60,60,20000.0,0.0,0.0,1952816,2818074,23499,35791,31634,2,40000.0,0,3,3
24094,1,2,2616.0,1.0,2,120,5,164,5.5e-05,5.5e-05,0.0,5.5e-05,5.5e-05,5.5e-05,1,1,60,60,18181.81836,0.0,0.0,1848196,2833921,21941,34784,34304,11,36363.63636,0,3,3
28387,1,2,2974.0,1.0,2,120,5,4692,3.1e-05,3.1e-05,0.0,3.1e-05,3.1e-05,3.1e-05,1,1,60,60,32258.06445,0.0,0.0,1917245,2850964,22841,35625,32805,10,64516.12903,0,3,3
1101526,1,2,3506.0,1322.0,2,120,5,2032,5.2e-05,5.2e-05,0.0,5.2e-05,5.2e-05,5.2e-05,1,1,60,60,19230.76953,0.0,0.0,1892984,2828138,22732,35039,33304,7,38461.53846,0,3,3
1391801,1,2,35063.0,16501.0,2,120,5,248027,0.016778,0.016778,0.0,0.016778,0.016778,0.016778,1,1,60,60,59.60186,0.0,0.0,1913424,2841285,23181,35900,31574,5,119.2037192,0,3,3
1341865,1,2,35063.0,7366.0,2,120,5,198090,0.05516,0.05516,0.0,0.05516,0.05516,0.05516,1,1,60,60,18.129078,0.0,0.0,1892188,2824472,22785,35410,32451,4,36.25815809,0,3,3
1361216,1,2,35063.0,31218.0,2,120,5,217441,0.056991,0.056991,0.0,0.056991,0.056991,0.056991,1,1,60,60,17.546631,0.0,0.0,1884575,2788220,22767,34972,32373,10,35.09326034,0,3,3
1278002,1,2,35063.0,23882.0,2,120,5,134226,0.015466,0.015466,0.0,0.015466,0.015466,0.015466,1,1,60,60,64.657959,0.0,0.0,1913451,2807832,23098,35352,32416,4,129.3159188,0,3,3
1387384,1,2,35063.0,12952.0,2,120,5,243609,0.010267,0.010267,0.0,0.010267,0.010267,0.010267,1,1,60,60,97.399437,0.0,0.0,1923880,2815971,23291,35314,32469,2,194.7988702,0,3,3
1370255,1,2,35063.0,48831.0,2,120,5,226480,0.024591,0.024591,0.0,0.024591,0.024591,0.024591,1,1,60,60,40.665283,0.0,0.0,1896115,2813111,22883,35213,32826,2,81.33056809,0,3,3
1267110,1,2,35063.0,54572.0,2,120,5,123334,0.017186,0.017186,0.0,0.017186,0.017186,0.017186,1,1,60,60,58.186901,0.0,0.0,1918872,2822273,23299,35388,32748,3,116.3737926,0,3,3
1276216,1,2,35063.0,49303.0,2,120,5,132440,0.021469,0.021469,0.0,0.021469,0.021469,0.021469,1,1,60,60,46.578785,0.0,0.0,1912322,2835285,23098,35339,32844,3,93.15757604,0,3,3
1254641,1,2,35063.0,36536.0,2,120,5,110864,0.027512,0.027512,0.0,0.027512,0.027512,0.027512,1,1,60,60,36.347775,0.0,0.0,1914680,2824898,22912,35229,33143,6,72.69555103,0,3,3
1406634,1,2,35063.0,43380.0,2,120,5,262860,0.008353,0.008353,0.0,0.008353,0.008353,0.008353,1,1,60,60,119.717476,0.0,0.0,1888735,2816759,22739,34772,34180,3,239.4349336,0,3,3
1303495,1,2,35063.0,57744.0,2,120,5,159720,0.016765,0.016765,0.0,0.016765,0.016765,0.016765,1,1,60,60,59.648075,0.0,0.0,1869034,2853288,22501,34940,34778,1,119.2961527,0,3,3
51962,1,2,35178.0,10025.0,2,134,5,23697,0.00138,0.00138,0.0,0.00138,0.00138,0.00138,1,1,74,60,724.637695,0.0,0.0,1860638,1998320,22221,22190,32973,1,1449.275362,0,3,3
1430846,1,2,35216.0,80.0,9,1615,5,287103,0.005221,0.005221,0.0,0.005221,0.005221,0.005221,5,4,855,760,1532.27356,766.13678,574.6026,1900241,2808912,22854,35525,31707,90160,1723.8077,0,3,3
1432254,1,2,36638.0,80.0,10,1675,5,288511,0.000415,0.000415,0.0,0.000415,0.000415,0.000415,6,4,915,760,21686.74805,12048.19336,7228.916016,1911510,2842988,23071,35734,32408,89623,24096.38554,0,3,3
1428540,1,2,38846.0,80.0,10,1675,5,284797,0.000477,0.000477,0.0,0.000477,0.000477,0.000477,6,4,915,760,18867.92383,10482.18066,6289.308105,1858535,2832008,21949,35760,31895,90012,20964.36059,0,3,3
1102670,1,2,3885.0,1701.0,2,120,5,3250,7.7e-05,7.7e-05,0.0,7.7e-05,7.7e-05,7.7e-05,1,1,60,60,12987.01367,0.0,0.0,1860045,2842728,22195,35474,33229,2,25974.02597,0,3,3
8603,1,1,39704.0,776.0,1,60,2,8853,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,1896905,2859322,22952,35588,57732,5,0.0,0,3,3
652869,1,2,40081.0,49329.0,2,120,5,153553,0.057333,0.057333,0.0,0.057333,0.057333,0.057333,1,1,60,60,17.441961,0.0,0.0,1934116,2838676,23469,35901,31907,4,34.88392374,0,3,3
734717,1,2,40081.0,21945.0,2,120,5,235402,0.043703,0.043703,0.0,0.043703,0.043703,0.043703,1,1,60,60,22.881723,0.0,0.0,1920302,2832035,23247,35772,31766,2,45.76344873,0,3,3
640790,1,2,40081.0,57618.0,2,120,5,141474,0.051367,0.051367,0.0,0.051367,0.051367,0.051367,1,1,60,60,19.467752,0.0,0.0,1928320,2820262,23227,35705,31973,5,38.93550334,0,3,3
734421,1,2,40081.0,38813.0,2,120,5,235106,0.039243,0.039243,0.0,0.039243,0.039243,0.039243,1,1,60,60,25.48225,0.0,0.0,1907070,2836804,22925,35704,32257,2,50.96450322,0,3,3
627215,1,2,40081.0,41962.0,2,120,5,127898,0.037241,0.037241,0.0,0.037241,0.037241,0.037241,1,1,60,60,26.852125,0.0,0.0,1913315,2825307,22946,35541,32231,16,53.70425069,0,3,3
663085,1,2,40081.0,5728.0,2,120,5,163769,0.025303,0.025303,0.0,0.025303,0.025303,0.025303,1,1,60,60,39.521004,0.0,0.0,1914648,2826618,23095,35600,32242,5,79.04201083,0,3,3
545160,1,2,40081.0,48280.0,2,120,5,45842,0.00147,0.00147,0.0,0.00147,0.00147,0.00147,1,1,60,60,680.272095,0.0,0.0,1905577,2825653,22945,35404,32810,7,1360.544218,0,3,3
580874,1,2,40081.0,65524.0,2,120,5,81556,0.001759,0.001759,0.0,0.001759,0.001759,0.001759,1,1,60,60,568.504822,0.0,0.0,1886543,2845549,22661,35462,33021,1,1137.009665,0,3,3
588924,1,2,40081.0,41684.0,2,120,5,89606,0.013347,0.013347,0.0,0.013347,0.013347,0.013347,1,1,60,60,74.923203,0.0,0.0,1890613,2822725,22837,35023,33531,6,149.8464074,0,3,3
713974,1,2,40081.0,2563.0,2,120,5,214659,0.04183,0.04183,0.0,0.04183,0.04183,0.04183,1,1,60,60,23.906288,0.0,0.0,1895384,2840014,22824,35044,34113,4,47.81257471,0,3,3
713943,1,2,40081.0,60065.0,2,120,5,214628,0.047192,0.047192,0.0,0.047192,0.047192,0.047192,1,1,60,60,21.190033,0.0,0.0,1869412,2850899,22648,35064,34298,6,42.38006442,0,3,3
700374,1,2,40081.0,6890.0,2,120,5,201059,0.028262,0.028262,0.0,0.028262,0.028262,0.028262,1,1,60,60,35.383198,0.0,0.0,1895135,2844176,22857,34912,34495,4,70.76640011,0,3,3
531503,1,2,40081.0,31154.0,2,120,5,32185,0.000832,0.000832,0.0,0.000832,0.000832,0.000832,1,1,60,60,1201.923096,0.0,0.0,1850110,2827977,22311,34982,33916,4,2403.846154,0,3,3
1085561,1,2,40084.0,1880.0,8,794,3,265978,0.00038,0.00038,0.0,0.00038,0.00038,0.00038,4,4,522,272,18421.05273,7894.736816,7894.736816,1952264,2825751,23199,35427,32657,12,21052.63158,0,3,3
1134111,1,2,40580.0,3800.0,2,120,5,5371,0.00028,0.00028,0.0,0.00028,0.00028,0.00028,1,1,60,60,3571.428467,0.0,0.0,1951752,2838424,23595,35898,31647,2,7142.857143,0,3,3
1133688,1,2,40580.0,17.0,2,120,5,4948,0.00032,0.00032,0.0,0.00032,0.00032,0.00032,1,1,60,60,3125.0,0.0,0.0,1889210,2823009,22826,34982,33564,10,6250.0,0,3,3
1134521,1,2,40580.0,27352.0,2,120,5,5781,7.6e-05,7.6e-05,0.0,7.6e-05,7.6e-05,7.6e-05,1,1,60,60,13157.89551,0.0,0.0,1864254,2830497,22440,34605,34762,6,26315.78947,0,3,3
1449117,1,2,40668.0,80.0,10,1675,5,305484,0.000718,0.000718,0.0,0.000718,0.000718,0.000718,6,4,915,760,12534.81934,6963.788574,4178.272949,1937415,2819415,22998,35689,31689,90094,13927.5766,0,3,3
491227,1,1,40726.0,514.0,1,60,2,9508,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,1955919,2834374,23275,35168,57017,5,0.0,0,3,3
175245,1,2,40850.0,36819.0,2,120,5,18537,2.5e-05,2.5e-05,0.0,2.5e-05,2.5e-05,2.5e-05,1,1,60,60,40000.0,0.0,0.0,1953935,2819319,23253,36041,30865,7,80000.0,0,3,3
167976,1,2,40850.0,55342.0,2,120,5,11268,1.7e-05,1.7e-05,0.0,1.7e-05,1.7e-05,1.7e-05,1,1,60,60,58823.52734,0.0,0.0,1943909,2814529,23112,35884,31110,2,117647.0588,0,3,3
176975,1,2,40850.0,14297.0,2,120,5,20267,0.000212,0.000212,0.0,0.000212,0.000212,0.000212,1,1,60,60,4716.980957,0.0,0.0,1938123,2822404,22958,35737,31702,2,9433.962264,0,3,3
164286,1,2,40850.0,1117.0,2,120,5,7578,0.002287,0.002287,0.0,0.002287,0.002287,0.002287,1,1,60,60,437.254059,0.0,0.0,1942327,2832164,23094,35937,31941,3,874.5080892,0,3,3
250148,1,2,40850.0,27015.0,2,120,5,93440,0.037501,0.037501,0.0,0.037501,0.037501,0.037501,1,1,60,60,26.665956,0.0,0.0,1930298,2809680,23051,35318,32535,2,53.33191115,0,3,3
259033,1,2,40850.0,42783.0,2,120,5,102325,0.032194,0.032194,0.0,0.032194,0.032194,0.032194,1,1,60,60,31.061689,0.0,0.0,1914411,2815943,22939,35382,32489,2,62.12337703,0,3,3
220520,1,2,40850.0,1175.0,2,120,5,63812,0.025737,0.025737,0.0,0.025737,0.025737,0.025737,1,1,60,60,38.854565,0.0,0.0,1922698,2843744,23100,35770,32760,10,77.70913471,0,3,3
295415,1,2,40850.0,40528.0,2,120,5,138707,0.049809,0.049809,0.0,0.049809,0.049809,0.049809,1,1,60,60,20.076693,0.0,0.0,1926928,2816407,23052,35287,32960,4,40.15338593,0,3,3
293673,1,2,40850.0,39433.0,2,120,5,136965,0.04644,0.04644,0.0,0.04644,0.04644,0.04644,1,1,60,60,21.533161,0.0,0.0,1927960,2838894,22981,35038,33969,6,43.06632214,0,3,3
275118,1,2,40850.0,8380.0,2,120,5,118410,0.022137,0.022137,0.0,0.022137,0.022137,0.022137,1,1,60,60,45.173241,0.0,0.0,1899851,2834566,22616,34885,34367,3,90.34647875,0,3,3
1130232,1,2,40996.0,9594.0,2,134,5,1489,1.8e-05,1.8e-05,0.0,1.8e-05,1.8e-05,1.8e-05,1,1,74,60,55555.55469,0.0,0.0,1902596,2856631,22568,35167,34255,6,111111.1111,0,3,3
60756,1,1,41433.0,5003.0,1,60,2,32688,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,1868447,1980643,22053,21782,58883,8,0.0,0,3,3
59964,1,1,41433.0,54094.0,1,60,2,31727,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,1821538,1966470,21797,21800,55500,7,0.0,0,3,3
1042361,1,2,41607.0,64496.0,2,120,5,222769,0.033047,0.033047,0.0,0.033047,0.033047,0.033047,1,1,60,60,30.259932,0.0,0.0,1896602,2805087,22917,35715,30953,2,60.51986565,0,3,3
1016239,1,2,41607.0,33483.0,2,120,5,196646,0.053384,0.053384,0.0,0.053384,0.053384,0.053384,1,1,60,60,18.732204,0.0,0.0,1919586,2831674,22946,36125,31074,2,37.46440881,0,3,3
951792,1,2,41607.0,13683.0,2,120,5,132198,0.051637,0.051637,0.0,0.051637,0.051637,0.051637,1,1,60,60,19.365957,0.0,0.0,1908101,2831769,23043,36040,31195,7,38.73191704,0,3,3
999513,1,2,41607.0,53994.0,2,120,5,179920,0.048917,0.048917,0.0,0.048917,0.048917,0.048917,1,1,60,60,20.442791,0.0,0.0,1931986,2825012,23265,35768,31278,6,40.8855817,0,3,3
1045435,1,2,41607.0,4653.0,2,120,5,225843,0.03907,0.03907,0.0,0.03907,0.03907,0.03907,1,1,60,60,25.595087,0.0,0.0,1950347,2852903,23593,36358,31432,2,51.19017149,0,3,3
996335,1,2,41607.0,37784.0,2,120,5,176742,0.057995,0.057995,0.0,0.057995,0.057995,0.057995,1,1,60,60,17.242867,0.0,0.0,1931748,2836753,23215,35859,31766,5,34.48573153,0,3,3
890210,1,2,41607.0,15849.0,2,120,5,70616,0.003914,0.003914,0.0,0.003914,0.003914,0.003914,1,1,60,60,255.493103,0.0,0.0,1925935,2837357,23247,35914,31730,6,510.9862034,0,3,3
933849,1,2,41607.0,60377.0,2,120,5,114255,0.017089,0.017089,0.0,0.017089,0.017089,0.017089,1,1,60,60,58.517174,0.0,0.0,1929298,2804519,23239,35369,32023,2,117.0343496,0,3,3
903836,1,2,41607.0,17991.0,2,120,5,84242,0.02742,0.02742,0.0,0.02742,0.02742,0.02742,1,1,60,60,36.46973,0.0,0.0,1921102,2817761,23111,35494,32148,2,72.93946025,0,3,3
1007989,1,2,41607.0,2549.0,2,120,5,188396,0.05924,0.05924,0.0,0.05924,0.05924,0.05924,1,1,60,60,16.880487,0.0,0.0,1896770,2831354,22900,35681,32281,2,33.76097232,0,3,3
1036962,1,2,41607.0,9451.0,2,120,5,217370,0.066159,0.066159,0.0,0.066159,0.066159,0.066159,1,1,60,60,15.115101,0.0,0.0,1891570,2827755,22806,35384,33064,6,30.230203,0,3,3
1055516,1,2,41607.0,49324.0,2,120,5,235924,0.030592,0.030592,0.0,0.030592,0.030592,0.030592,1,1,60,60,32.688286,0.0,0.0,1898474,2844993,22851,35398,32915,6,65.37656904,0,3,3
977399,1,2,41607.0,31695.0,2,120,5,157806,0.034066,0.034066,0.0,0.034066,0.034066,0.034066,1,1,60,60,29.354782,0.0,0.0,1865848,2822726,22587,34834,33932,6,58.70956379,0,3,3
890519,1,2,41607.0,11334.0,2,120,5,70925,0.002047,0.002047,0.0,0.002047,0.002047,0.002047,1,1,60,60,488.519775,0.0,0.0,1881718,2848637,22753,35145,34035,6,977.0395701,0,3,3
1039531,1,2,41607.0,30385.0,2,120,5,219939,0.05138,0.05138,0.0,0.05138,0.05138,0.05138,1,1,60,60,19.462826,0.0,0.0,1909662,2851602,23111,35007,34400,6,38.925652,0,3,3
958886,1,2,41607.0,22438.0,2,120,5,139292,0.04585,0.04585,0.0,0.04585,0.04585,0.04585,1,1,60,60,21.810249,0.0,0.0,1880415,2855768,22629,34906,34491,9,43.62050164,0,3,3
17325,1,2,41776.0,25.0,19,1988,3,17935,0.965601,0.965601,0.0,0.965601,0.965601,0.965601,11,8,854,1134,18.641239,10.356244,7.249371,1894497,2840746,22876,35154,33473,9,19.67686446,0,3,3
71368,1,2,42052.0,30951.0,2,120,5,7055,0.003565,0.003565,0.0,0.003565,0.003565,0.003565,1,1,60,60,280.504913,0.0,0.0,1914271,1968427,22685,21677,33506,4,561.0098177,0,3,3
1083522,1,2,42282.0,1883.0,6,662,5,263937,0.000122,0.000122,0.0,0.000122,0.000122,0.000122,3,3,456,206,40983.60547,16393.44336,16393.44336,1908714,2834467,22882,34970,34188,10,49180.32787,0,3,3
842375,1,2,42640.0,16599.0,2,120,5,22781,0.000445,0.000445,0.0,0.000445,0.000445,0.000445,1,1,60,60,2247.190918,0.0,0.0,1974550,2834967,23501,36077,30878,10,4494.382022,0,3,3
843480,1,2,42640.0,54845.0,2,120,5,23886,0.000507,0.000507,0.0,0.000507,0.000507,0.000507,1,1,60,60,1972.386475,0.0,0.0,1938564,2811774,23124,35910,31173,2,3944.773176,0,3,3
844798,1,2,42640.0,49341.0,2,120,5,25204,0.000743,0.000743,0.0,0.000743,0.000743,0.000743,1,1,60,60,1345.89502,0.0,0.0,1931539,2846105,22878,36187,31316,4,2691.79004,0,3,3
867499,1,2,42640.0,65334.0,2,120,5,47905,0.010143,0.010143,0.0,0.010143,0.010143,0.010143,1,1,60,60,98.590164,0.0,0.0,1966414,2815651,23297,35758,31410,10,197.1803214,0,3,3
885584,1,2,42640.0,5705.0,2,120,5,65990,0.002679,0.002679,0.0,0.002679,0.002679,0.002679,1,1,60,60,373.273621,0.0,0.0,1950057,2818291,23184,35804,31577,2,746.5472191,0,3,3
973814,1,2,42640.0,43235.0,2,120,5,154221,0.023509,0.023509,0.0,0.023509,0.023509,0.023509,1,1,60,60,42.536903,0.0,0.0,1955032,2842487,23382,35957,31613,2,85.07380152,0,3,3
1007638,1,2,42640.0,39324.0,2,120,5,188045,0.053488,0.053488,0.0,0.053488,0.053488,0.053488,1,1,60,60,18.695782,0.0,0.0,1970341,2825822,23381,35607,31880,9,37.39156446,0,3,3
932206,1,2,42640.0,54270.0,2,120,5,112612,0.023539,0.023539,0.0,0.023539,0.023539,0.023539,1,1,60,60,42.482689,0.0,0.0,1939796,2820840,23078,35571,32282,2,84.96537661,0,3,3
884995,1,2,42640.0,53382.0,2,120,5,65401,0.001649,0.001649,0.0,0.001649,0.001649,0.001649,1,1,60,60,606.428162,0.0,0.0,1951585,2818014,23231,35318,32880,4,1212.856277,0,3,3
851381,1,2,42640.0,16734.0,2,120,5,31787,0.001084,0.001084,0.0,0.001084,0.001084,0.001084,1,1,60,60,922.509216,0.0,0.0,1933820,2831633,23147,35287,33005,5,1845.01845,0,3,3
863873,1,2,42640.0,10291.0,2,120,5,44279,0.011844,0.011844,0.0,0.011844,0.011844,0.011844,1,1,60,60,84.430939,0.0,0.0,1912720,2842485,22860,35249,33535,9,168.861871,0,3,3
937331,1,2,42640.0,15351.0,2,120,5,117737,0.016525,0.016525,0.0,0.016525,0.016525,0.016525,1,1,60,60,60.51437,0.0,0.0,1930690,2817670,22815,35872,31114,7,121.0287443,0,3,3
1451255,1,2,42806.0,80.0,9,1615,5,307623,0.000611,0.000611,0.0,0.000611,0.000611,0.000611,5,4,855,760,13093.29004,6546.64502,4909.983887,1911046,2825943,22737,35029,33576,88854,14729.9509,0,3,3
111071,1,2,43660.0,8008.0,2,134,5,8536,0.001485,0.001485,0.0,0.001485,0.001485,0.001485,1,1,74,60,673.400696,0.0,0.0,1897548,1399667,22860,17477,33565,3,1346.801347,0,3,3
